05/28/2026-23:36:28.428730  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:64455 -> 192.178.174.102:443
05/28/2026-23:36:28.428739  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:64455 -> 192.178.174.102:443
05/28/2026-23:36:28.428774  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:64455 -> 192.178.174.102:443
05/28/2026-23:36:29.787640  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:52887 -> 192.178.174.95:443
05/28/2026-23:36:29.788510  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:62792 -> 192.178.174.95:443
05/28/2026-23:36:30.383062  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:64455 -> 192.178.174.102:443
05/28/2026-23:36:30.384797  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:65242 -> 192.178.174.102:443
05/28/2026-23:36:33.801595  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:62792 -> 192.178.174.95:443
05/28/2026-23:36:34.390448  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:65242 -> 192.178.174.102:443
05/28/2026-23:38:23.380872  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:61123 -> 142.251.220.14:443
05/28/2026-23:38:23.381039  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:61123 -> 142.251.220.14:443
05/28/2026-23:38:23.381048  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:61123 -> 142.251.220.14:443
05/28/2026-23:38:23.381050  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:61123 -> 142.251.220.14:443
05/28/2026-23:38:23.381052  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:61123 -> 142.251.220.14:443
05/28/2026-23:38:23.381054  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:61123 -> 142.251.220.14:443
05/28/2026-23:38:23.381055  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:61123 -> 142.251.220.14:443
05/28/2026-23:38:27.379754  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:61123 -> 142.251.220.14:443
05/28/2026-23:38:27.380641  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:50604 -> 142.251.220.14:443
05/28/2026-23:38:31.395149  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:50604 -> 142.251.220.14:443
05/28/2026-23:38:45.020019  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:58030 -> 142.250.100.94:443
05/28/2026-23:38:49.028868  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:58030 -> 142.250.100.94:443
05/28/2026-23:38:49.030017  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:64968 -> 142.250.100.94:443
05/28/2026-23:38:53.042126  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:64968 -> 142.250.100.94:443
05/28/2026-23:39:56.310561  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53111 -> 142.250.100.94:443
05/28/2026-23:40:00.322831  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53111 -> 142.250.100.94:443
05/28/2026-23:40:00.324291  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53506 -> 142.250.100.94:443
05/28/2026-23:40:04.332160  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53506 -> 142.250.100.94:443
05/28/2026-23:41:32.573588  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:62252 -> 192.178.193.138:443
05/28/2026-23:41:36.576717  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:62252 -> 192.178.193.138:443
05/28/2026-23:41:36.578184  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:57954 -> 192.178.193.138:443
05/28/2026-23:41:40.584198  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:57954 -> 192.178.193.138:443
05/28/2026-23:51:19.941922  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:64948 -> 142.251.220.14:443
05/28/2026-23:51:23.955278  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:64948 -> 142.251.220.14:443
05/28/2026-23:51:23.956430  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:60535 -> 142.251.220.14:443
05/28/2026-23:51:27.971699  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:60535 -> 142.251.220.14:443
05/28/2026-23:54:31.137563  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53901 -> 172.64.41.3:443
05/28/2026-23:54:31.137780  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53901 -> 172.64.41.3:443
05/28/2026-23:54:31.137789  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53901 -> 172.64.41.3:443
05/28/2026-23:54:35.145181  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53901 -> 172.64.41.3:443
05/28/2026-23:54:35.146232  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54329 -> 172.64.41.3:443
05/28/2026-23:54:39.149784  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54329 -> 172.64.41.3:443
05/29/2026-00:01:37.283419  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:64411 -> 192.178.211.138:443
05/29/2026-00:01:41.287694  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:64411 -> 192.178.211.138:443
05/29/2026-00:01:41.288673  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54263 -> 192.178.211.138:443
05/29/2026-00:01:45.294805  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54263 -> 192.178.211.138:443
05/29/2026-00:08:42.005695  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54341 -> 142.250.134.94:443
05/29/2026-00:08:42.006063  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54341 -> 142.250.134.94:443
05/29/2026-00:08:46.009162  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54341 -> 142.250.134.94:443
05/29/2026-00:08:46.010457  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:56932 -> 142.250.134.94:443
05/29/2026-00:08:50.024868  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:56932 -> 142.250.134.94:443
05/29/2026-00:16:40.566854  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:62492 -> 192.178.174.102:443
05/29/2026-00:16:44.580345  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:62492 -> 192.178.174.102:443
05/29/2026-00:16:44.581395  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:58717 -> 192.178.174.102:443
05/29/2026-00:16:48.593467  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:58717 -> 192.178.174.102:443
05/29/2026-00:16:53.031377  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54133 -> 142.250.146.94:443
05/29/2026-00:16:53.031576  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54133 -> 142.250.146.94:443
05/29/2026-00:16:57.038940  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54133 -> 142.250.146.94:443
05/29/2026-00:16:57.040279  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:61409 -> 142.250.146.94:443
05/29/2026-00:17:01.053036  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:61409 -> 142.250.146.94:443
05/29/2026-00:20:03.204085  [**] [1:2024897:3] ET USER_AGENTS Go HTTP Client User-Agent [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.30.30.101:1053 -> 192.200.0.104:80
05/29/2026-00:28:42.015995  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53451 -> 142.250.146.94:443
05/29/2026-00:28:42.016172  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53451 -> 142.250.146.94:443
05/29/2026-00:28:46.030606  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53451 -> 142.250.146.94:443
05/29/2026-00:28:46.030641  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:60631 -> 142.250.146.94:443
05/29/2026-00:28:50.043182  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:60631 -> 142.250.146.94:443
05/29/2026-00:29:43.570728  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:57881 -> 192.178.193.113:443
05/29/2026-00:29:47.586066  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:57881 -> 192.178.193.113:443
05/29/2026-00:29:47.587362  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53654 -> 192.178.193.113:443
05/29/2026-00:29:51.588542  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53654 -> 192.178.193.113:443
05/29/2026-00:33:53.178455  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:50011 -> 142.250.100.94:443
05/29/2026-00:33:53.178632  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:50011 -> 142.250.100.94:443
05/29/2026-00:33:57.178797  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:50011 -> 142.250.100.94:443
05/29/2026-00:33:57.180665  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:59832 -> 142.250.100.94:443
05/29/2026-00:34:01.183679  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:59832 -> 142.250.100.94:443
05/29/2026-00:35:30.031295  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:60990 -> 142.250.100.94:443
05/29/2026-00:35:34.046012  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:60990 -> 142.250.100.94:443
05/29/2026-00:35:34.047138  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:55856 -> 142.250.100.94:443
05/29/2026-00:35:38.051184  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:55856 -> 142.250.100.94:443
05/29/2026-00:36:03.756506  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:52851 -> 142.250.134.148:443
05/29/2026-00:36:03.757223  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:52851 -> 142.250.134.148:443
05/29/2026-00:36:06.703493  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54574 -> 192.178.193.101:443
05/29/2026-00:36:06.703627  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54574 -> 192.178.193.101:443
05/29/2026-00:36:06.703635  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54574 -> 192.178.193.101:443
05/29/2026-00:36:06.703637  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54574 -> 192.178.193.101:443
05/29/2026-00:36:06.703639  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54574 -> 192.178.193.101:443
05/29/2026-00:36:06.703640  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54574 -> 192.178.193.101:443
05/29/2026-00:36:07.765831  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:52851 -> 142.250.134.148:443
05/29/2026-00:36:07.767086  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:65083 -> 142.250.134.148:443
05/29/2026-00:36:10.718186  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:54574 -> 192.178.193.101:443
05/29/2026-00:36:10.719797  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53815 -> 192.178.193.101:443
05/29/2026-00:36:11.782746  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:65083 -> 142.250.134.148:443
05/29/2026-00:36:14.720935  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53815 -> 192.178.193.101:443
05/29/2026-00:56:32.638266  [**] [1:2024897:3] ET USER_AGENTS Go HTTP Client User-Agent [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.30.30.101:27802 -> 192.200.0.107:80
05/29/2026-11:34:07.094815  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53284 -> 192.178.211.84:443
05/29/2026-11:34:07.095061  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53284 -> 192.178.211.84:443
05/29/2026-11:34:07.095072  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53284 -> 192.178.211.84:443
05/29/2026-11:34:07.095076  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53284 -> 192.178.211.84:443
05/29/2026-11:34:07.095078  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53284 -> 192.178.211.84:443
05/29/2026-11:34:11.109256  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:53284 -> 192.178.211.84:443
05/29/2026-11:34:11.111019  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:64281 -> 192.178.211.84:443
05/29/2026-11:34:15.111256  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:64281 -> 192.178.211.84:443
05/29/2026-11:39:55.329936  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:63714 -> 216.239.34.223:443
05/29/2026-11:39:59.330799  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:63714 -> 216.239.34.223:443
05/29/2026-11:39:59.332820  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:52857 -> 216.239.34.223:443
05/29/2026-11:40:03.348303  [**] [1:2231000:1] SURICATA QUIC failed decrypt [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 10.30.30.101:52857 -> 216.239.34.223:443
05/29/2026-11:58:47.607610  [**] [1:2210020:2] SURICATA STREAM ESTABLISHED packet out of window [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 23.61.247.8:443 -> 10.30.30.101:3704
